intended_emotion,seed_text,seed_emotion_detected,seed_confidence,strategy,style_modifier,strategy_reply,followup_reply,followup_emotion,followup_confidence
anger,I can't believe you did that! It's completely infuriating!,anger,0.9105392694473267,Validate,concise and emotionally attuned,It sounds like you're really hurt and frustrated by what happened. I can see how this situation would make you feel that way.,"Yes, I'm hurt and frustrated! It's like you just threw all my trust out the window without a second thought!",anger,0.9574370980262756
anger,I can't believe you did that! How could you be so careless?,surprise,0.7747492790222168,Validate,concise and emotionally attuned,It sounds like you're really frustrated and hurt by what happened. It's completely understandable to feel that way when something unexpected occurs.,"Frustrated doesn't even begin to cover it! You had one job, and now I'm left dealing with the fallout.",disgust,0.5444698929786682
anger,I can't believe you would do something like that! This is completely unacceptable!,anger,0.45017462968826294,Validate,concise and emotionally attuned,"It sounds like you're feeling really hurt and shocked right now; it’s understandable to feel this way when something unexpected happens. Your emotions are valid, and it’s okay to express how deeply this has affected you.","Hurt or not, what you did was wrong, and I won’t just brush it off. This isn't just about feelings; it's about the betrayal.",anger,0.4349856674671173
anger,I can't believe you would do something so selfish! It's infuriating!,anger,0.9522292017936707,Validate,concise and emotionally attuned,"It sounds like you're feeling really hurt and frustrated right now, and that's completely understandable. Your feelings matter, and it's okay to express that anger.",Hurt and frustrated is putting it mildly! It’s just so hard to believe you’d put yourself above everything and everyone else like this.,anger,0.6785580515861511
anger,I can't believe you did that! You have no idea how angry I am right now.,anger,0.8062452077865601,Validate,concise and emotionally attuned,"It sounds like you're feeling really hurt and frustrated right now. That anger must be tough to carry, especially when you feel unheard.",I can't believe you just brushed off my anger like that! It's infuriating that you still don't get how deeply this cuts.,anger,0.9563901424407959
anger,I can't believe you would do something so thoughtless! It infuriates me that you didn't even consider how it would affect me.,anger,0.923221230506897,Validate,concise and emotionally attuned,"It sounds like you're feeling incredibly hurt and frustrated right now, and I can see how deeply this affects you. It's completely understandable to feel this way when you believe your feelings weren't considered.",It's not just about hurt; it's about the blatant disregard for my feelings! How could you not realize the impact this would have on me?,anger,0.7146444320678711
anger,I can't believe you would do something like that! It's completely unacceptable!,anger,0.4178068935871124,Validate,concise and emotionally attuned,It sounds like you’re really hurt and shocked by their actions. That level of disappointment can feel overwhelming.,You're damn right I’m hurt! How can someone be so thoughtless and just disregard everything?,anger,0.8897097706794739
anger,I can't believe you did that! Do you even care how your actions affect me?,surprise,0.7756309509277344,Validate,concise and emotionally attuned,"It sounds like you're really hurt and frustrated by my actions, and I can sense how deep this affects you. Your feelings are completely valid, and I want to understand more about what you’re going through.","It’s good to hear you recognize my feelings, but it still doesn't excuse what you did. I need you to really grasp the impact of your actions before we can move forward.",neutral,0.7575515508651733
anger,I can't believe you went behind my back like that! How could you do this to me?,surprise,0.7954708933830261,Validate,concise and emotionally attuned,"It sounds like you're feeling really hurt and betrayed right now, and that’s completely understandable. It’s tough to feel like trust has been broken.","Yes, it’s infuriating! I thought we had a solid understanding, and now it feels like everything has been shattered.",anger,0.9227492213249207
anger,I can’t believe you went behind my back like that! What were you thinking?,surprise,0.8732644319534302,Validate,concise and emotionally attuned,"It sounds like you're feeling really hurt and betrayed right now, and that's completely understandable. Your feelings matter, and I can see how this situation has deeply affected you.",Of course I'm hurt! It feels like you completely disregarded our trust. How could you think that’s okay?,anger,0.7059624791145325
anger,I can't believe you would disrespect me like that after everything I've done!,anger,0.7063279747962952,Validate,concise and emotionally attuned,"It sounds like you’re feeling really hurt and frustrated by what happened, especially given all the effort you put in. That’s completely understandable and it's valid to feel this way.","Yes, I’m hurt and frustrated! It’s infuriating to be overlooked after all I’ve sacrificed.",anger,0.9805725812911987
anger,I can't believe you did that! It’s infuriating how careless you are!,anger,0.9105506539344788,Validate,concise and emotionally attuned,It sounds like you're really upset and frustrated right now; I can feel how deeply this has affected you. It's completely understandable to feel that way when something like this happens.,You think I want you to just brush this off? It’s not just frustration; it’s anger at the complete disregard for what we talked about!,anger,0.8670336008071899
anger,I can't believe you did that! This is absolutely unacceptable!,anger,0.4195035696029663,Validate,concise and emotionally attuned,It sounds like you're really hurt and frustrated by what happened. Those feelings are completely valid; it's understandable to feel this way in such a situation.,You’re damn right I’m hurt and frustrated! It’s infuriating that my feelings are dismissed like this.,anger,0.9777986407279968
anger,I can't believe they thought it was okay to disrespect me like that! It's infuriating!,anger,0.939272940158844,Validate,concise and emotionally attuned,It sounds like you’re feeling really hurt and frustrated by their disrespect. That’s completely understandable; it’s hard to accept when someone treats you that way.,"Absolutely, it's completely unacceptable! I just don’t get how anyone could think that's okay—it's beyond frustrating!",anger,0.5212456583976746
anger,I can't believe you would do something so thoughtless! This is absolutely infuriating!,anger,0.9501210451126099,Validate,concise and emotionally attuned,"It sounds like you're really hurt and frustrated right now, and that feeling is completely valid. It must be incredibly upsetting to feel this way.","Yes, I am hurt and frustrated! It’s just so hard to wrap my head around how someone could be so careless with my feelings.",anger,0.9501187801361084
