conversation_id,policy,turn,strategy,prior_emotion,detected_emotion,detected_confidence,seed_text,assistant_reply,user_reply,emotion_scores
provocative-anger-0,provocative,0,seed,,anger,0.4678216874599457,I can't believe you went behind my back like that! This is completely unacceptable!,,I can't believe you went behind my back like that! This is completely unacceptable!,"{""anger"": 0.4678216874599457, ""disgust"": 0.29933157563209534, ""surprise"": 0.1855386644601822, ""fear"": 0.0255329180508852, ""neutral"": 0.010546102188527584, ""sadness"": 0.00841493345797062, ""joy"": 0.0028141706716269255}"
provocative-anger-0,provocative,1,Reframe,anger,fear,0.45817291736602783,I can't believe you went behind my back like that! This is completely unacceptable!,"It sounds like you're feeling really hurt and betrayed, and that's completely valid. Maybe this situation could also be a chance for us to understand each other's perspectives better and strengthen our communication moving forward.","I appreciate your willingness to work through this, but right now, I'm just really struggling to trust after what happened. Can we focus on how to address that first?","{""fear"": 0.45817291736602783, ""neutral"": 0.3753659427165985, ""sadness"": 0.10643689334392548, ""joy"": 0.020705334842205048, ""disgust"": 0.015603428706526756, ""anger"": 0.01318264938890934, ""surprise"": 0.010532954707741737}"
provocative-anger-0,provocative,2,Guide,fear,neutral,0.729600727558136,I can't believe you went behind my back like that! This is completely unacceptable!,"It's important to rebuild trust step by step. Let's start by having an open conversation where you can express your feelings and concerns without judgment, and I’ll listen actively to what you need moving forward. Would it help to set up a time to talk where we can both share our thoughts?",I think that sounds like a good idea. I really need a chance to vent and to figure out how we can move forward from here. Let’s find a time that works for both of us.,"{""neutral"": 0.729600727558136, ""joy"": 0.10777783393859863, ""disgust"": 0.05848821625113487, ""anger"": 0.04713728278875351, ""sadness"": 0.046102773398160934, ""surprise"": 0.008311186917126179, ""fear"": 0.0025819481816142797}"
provocative-anger-0,provocative,3,Guide,neutral,neutral,0.9281243681907654,I can't believe you went behind my back like that! This is completely unacceptable!,"Great! How about we each suggest a couple of times that work for us in the next few days? That way, we can find a moment to connect where you feel comfortable venting your feelings and we can discuss our path forward together.","Sure, I can do that. I’m available tomorrow afternoon or Thursday morning. What works best for you?","{""neutral"": 0.9281243681907654, ""joy"": 0.01886330544948578, ""surprise"": 0.018474068492650986, ""sadness"": 0.014111821539700031, ""disgust"": 0.007567483000457287, ""anger"": 0.007216413505375385, ""fear"": 0.005642570089548826}"
provocative-anger-0,provocative,4,Guide,neutral,joy,0.9309516549110413,I can't believe you went behind my back like that! This is completely unacceptable!,"Let's go with tomorrow afternoon since it’s sooner. How about we set a specific time, like 3 PM? That way, we can both prepare for our conversation and ensure we have the space to discuss everything on our minds. Does that work for you?",3 PM works for me. I appreciate you being open to this conversation—it means a lot. Looking forward to it and hoping we can make some progress together.,"{""joy"": 0.9309516549110413, ""neutral"": 0.04081570357084274, ""surprise"": 0.016352932900190353, ""sadness"": 0.005706751719117165, ""anger"": 0.0036293009761720896, ""disgust"": 0.0020857795607298613, ""fear"": 0.0004578174266498536}"
provocative-anger-0,provocative,5,Reframe,joy,joy,0.9763730764389038,I can't believe you went behind my back like that! This is completely unacceptable!,"It’s really encouraging to hear that you’re hopeful about our talk. This willingness to connect and find a way forward together is a strong step towards healing and rebuilding, and it speaks volumes about your commitment to understanding each other.",I'm glad you feel that way too. I believe this conversation will help clear the air and set the stage for building trust again. See you tomorrow at 3 PM!,"{""joy"": 0.9763730764389038, ""neutral"": 0.010218148119747639, ""surprise"": 0.008761509321630001, ""anger"": 0.001593127497471869, ""sadness"": 0.001530967652797699, ""disgust"": 0.0011664945632219315, ""fear"": 0.0003567897074390203}"
provocative-anger-1,provocative,0,seed,,anger,0.8817275762557983,I can’t believe you would do something so thoughtless! It’s infuriating!,,I can’t believe you would do something so thoughtless! It’s infuriating!,"{""anger"": 0.8817275762557983, ""disgust"": 0.09928060322999954, ""surprise"": 0.008363926783204079, ""neutral"": 0.004130828194320202, ""fear"": 0.0038219273556023836, ""sadness"": 0.0018198000034317374, ""joy"": 0.0008553839870728552}"
provocative-anger-1,provocative,1,Reframe,anger,sadness,0.9312086701393127,I can’t believe you would do something so thoughtless! It’s infuriating!,"It sounds like you’re feeling really hurt by what happened, and that’s completely understandable. Sometimes, actions can unintentionally lead to these strong feelings, and it might help to explore why it affected you so much.",I appreciate you acknowledging my feelings. It's just frustrating to feel ignored and hurt by someone I care about. I definitely need to talk about this more.,"{""sadness"": 0.9312086701393127, ""anger"": 0.02561361901462078, ""disgust"": 0.022970842197537422, ""neutral"": 0.015675455331802368, ""surprise"": 0.0017871781019493937, ""joy"": 0.0015047588385641575, ""fear"": 0.001239466480910778}"
provocative-anger-1,provocative,2,Guide,sadness,neutral,0.47174811363220215,I can’t believe you would do something so thoughtless! It’s infuriating!,"It might help to set aside a specific time to talk with your partner about how you’re feeling. Start by expressing your emotions using ""I"" statements, like ""I felt hurt when..."" This can foster a more open dialogue and help them understand your perspective better.",That sounds like a good approach. I think having a dedicated time to talk could make it easier to express how I feel without the heat of the moment. I really want them to understand where I'm coming from.,"{""neutral"": 0.47174811363220215, ""joy"": 0.44242534041404724, ""sadness"": 0.031258054077625275, ""disgust"": 0.022705255076289177, ""anger"": 0.02090773731470108, ""surprise"": 0.006853163708001375, ""fear"": 0.004102425184100866}"
provocative-anger-1,provocative,3,Guide,neutral,joy,0.5605751276016235,I can’t believe you would do something so thoughtless! It’s infuriating!,"That’s a great mindset to have! When you set the time to talk, maybe write down a few key points about how their actions made you feel and what you hope to achieve from the conversation. This can help keep the discussion focused and constructive.",Thanks for the suggestion! I think having those key points will really help me stay on track during the conversation. I just want to make sure we both come away with a better understanding of each other.,"{""joy"": 0.5605751276016235, ""neutral"": 0.37244632840156555, ""surprise"": 0.04143350571393967, ""anger"": 0.010745828039944172, ""sadness"": 0.007742475252598524, ""disgust"": 0.005322800017893314, ""fear"": 0.00173385685775429}"
