conversation_id,policy,turn,strategy,prior_emotion,detected_emotion,detected_confidence,seed_text,assistant_reply,user_reply,emotion_scores
calming-anger-0,calming,0,seed,,surprise,0.885440468788147,I can't believe you just did that! How could you be so thoughtless?,,I can't believe you just did that! How could you be so thoughtless?,"{""surprise"": 0.885440468788147, ""anger"": 0.06269486993551254, ""disgust"": 0.02346007153391838, ""fear"": 0.010531101375818253, ""neutral"": 0.009762144647538662, ""sadness"": 0.006220898125320673, ""joy"": 0.0018904070602729917}"
calming-anger-0,calming,1,Explore,surprise,anger,0.6422615647315979,I can't believe you just did that! How could you be so thoughtless?,I can see that you're really hurt by this. Can you share more about what specifically bothered you? What were you hoping for in that moment?,I just wanted some support and understanding. It felt like you completely disregarded my feelings when I really needed you.,"{""anger"": 0.6422615647315979, ""disgust"": 0.287827730178833, ""sadness"": 0.033611197024583817, ""neutral"": 0.029828881844878197, ""fear"": 0.003711520694196224, ""surprise"": 0.0016560557996854186, ""joy"": 0.0011031483300030231}"
calming-anger-0,calming,2,Validate,anger,sadness,0.939851701259613,I can't believe you just did that! How could you be so thoughtless?,"It sounds like you really needed someone to be there for you, and it's understandable to feel disregarded in that moment. Your feelings are valid, and it’s tough to feel unsupported when you’re looking for understanding.",Thank you for acknowledging that. I just wish I could have felt seen and heard when I needed it most. It’s hard to shake off that feeling of being alone in those moments.,"{""sadness"": 0.939851701259613, ""fear"": 0.027773724868893623, ""neutral"": 0.020238980650901794, ""disgust"": 0.005098601337522268, ""surprise"": 0.0037108678370714188, ""joy"": 0.001782757230103016, ""anger"": 0.0015433451626449823}"
calming-anger-0,calming,3,Affirm,sadness,joy,0.9027988314628601,I can't believe you just did that! How could you be so thoughtless?,"It's truly commendable that you're expressing your feelings so openly; that takes strength and courage. Your desire to be seen and heard shows just how deeply you value connection, and it's clear you have a strong understanding of your own emotional needs.","I appreciate your kind words. It really means a lot to me to feel understood, and I hope moving forward, I can find that connection I crave.","{""joy"": 0.9027988314628601, ""neutral"": 0.07439830899238586, ""surprise"": 0.010163160972297192, ""sadness"": 0.005024706944823265, ""anger"": 0.0036470508202910423, ""disgust"": 0.0035032492596656084, ""fear"": 0.00046468881191685796}"
calming-anger-0,calming,4,Explore,joy,fear,0.9100102186203003,I can't believe you just did that! How could you be so thoughtless?,What do you think would help you feel more connected in the future? Are there specific ways you’d like to communicate your needs when you’re seeking support?,"I think being open about my feelings ahead of time might help, along with creating a safe space to share. Just knowing that I can express my needs without hesitation would make a big difference.","{""fear"": 0.9100102186203003, ""neutral"": 0.043073203414678574, ""joy"": 0.02989724650979042, ""anger"": 0.007417865097522736, ""sadness"": 0.003585097612813115, ""disgust"": 0.0034701807890087366, ""surprise"": 0.0025462107732892036}"
calming-anger-0,calming,5,Normalize,fear,joy,0.9054334163665771,I can't believe you just did that! How could you be so thoughtless?,"It’s really common for many people to desire that safe space to express their feelings without hesitation. Knowing you’re not alone in wanting this kind of openness can be comforting, and it sounds like you’re taking powerful steps toward fostering that connection in your relationships.","You're right, and I appreciate your continued support. Building that openness feels crucial, and I'm determined to create an environment where we can all express ourselves freely.","{""joy"": 0.9054334163665771, ""neutral"": 0.07699758559465408, ""surprise"": 0.006283847149461508, ""sadness"": 0.003752290504053235, ""anger"": 0.0036165323108434677, ""disgust"": 0.0030014831572771072, ""fear"": 0.0009148656390607357}"
calming-anger-1,calming,0,seed,,anger,0.4722932279109955,I can't believe you went behind my back like that! That's so disrespectful!,,I can't believe you went behind my back like that! That's so disrespectful!,"{""anger"": 0.4722932279109955, ""disgust"": 0.34714698791503906, ""surprise"": 0.1492728292942047, ""neutral"": 0.017161855474114418, ""sadness"": 0.00795484147965908, ""fear"": 0.0043763960711658, ""joy"": 0.0017939087701961398}"
calming-anger-1,calming,1,Validate,anger,disgust,0.38850459456443787,I can't believe you went behind my back like that! That's so disrespectful!,"I can hear how hurt and disrespected you feel right now. It’s completely understandable to feel upset about this situation. Your feelings matter, and it’s important to acknowledge them.","Thank you for understanding. It just feels like a huge breach of trust, and I really need to process how to move forward from this.","{""disgust"": 0.38850459456443787, ""anger"": 0.2523713707923889, ""neutral"": 0.2348717451095581, ""fear"": 0.08921068906784058, ""sadness"": 0.02032124064862728, ""surprise"": 0.01303657703101635, ""joy"": 0.0016837534494698048}"
calming-anger-1,calming,2,Normalize,disgust,joy,0.6475641131401062,I can't believe you went behind my back like that! That's so disrespectful!,"It's common to feel a deep sense of betrayal when trust is broken, and many people go through similar emotions in these situations. Allowing yourself to process this can be an important step in finding your way forward. You're not alone in feeling this way.","I appreciate you saying that. It helps to know that others have gone through something similar. I'm just trying to figure out how to rebuild that trust, if it’s even possible.","{""joy"": 0.6475641131401062, ""neutral"": 0.29357093572616577, ""surprise"": 0.023791758343577385, ""sadness"": 0.013646983541548252, ""disgust"": 0.010479507967829704, ""anger"": 0.009284808300435543, ""fear"": 0.0016618676017969847}"
calming-anger-1,calming,3,Explore,joy,neutral,0.9410316348075867,I can't believe you went behind my back like that! That's so disrespectful!,What does rebuilding trust look like for you? Are there specific actions or conversations that you think could help in this process?,"Rebuilding trust for me would mean open and honest conversations about what happened, setting clear expectations going forward, and showing consistency in actions over time. I think simple gestures of accountability can also help. Does that resonate with you?","{""neutral"": 0.9410316348075867, ""disgust"": 0.022083235904574394, ""anger"": 0.01159478910267353, ""fear"": 0.008709978312253952, ""joy"": 0.007733855862170458, ""sadness"": 0.0044675408862531185, ""surprise"": 0.004378931596875191}"
