intended_emotion,seed_text,seed_emotion_detected,seed_confidence,strategy,style_modifier,strategy_reply,followup_reply,followup_emotion,followup_confidence
anger,I'm sooo pissed at my friend!,anger,0.8643319010734558,Validate,concise and emotionally attuned,It sounds like you're really frustrated with your friend right now. That kind of anger can feel overwhelming.,"Yeah, it really is overwhelming! I just can't believe they would do something so thoughtless—it feels like a total betrayal!",surprise,0.4618266522884369
anger,I can't take it anymore the stress from my parents. They don't acknowledge I am doing my best.,anger,0.47335365414619446,Validate,concise and emotionally attuned,"It sounds incredibly overwhelming to feel like your efforts aren’t recognized, and I can sense how much this stress weighs on you. You’re doing your best, and it’s hard when it feels like that goes unnoticed.","It's infuriating! I pour everything into trying to please them, and yet they just brush it aside like it means nothing. It's exhausting!",anger,0.9104399681091309
anger,My board is going around me to my staff and I am frustrated.,anger,0.946092963218689,Validate,concise and emotionally attuned,It's really understandable to feel frustrated when the board bypasses you; it can be incredibly disheartening to feel undermined in that way. Your feelings are valid and it's tough to navigate that situation.,"Thank you for understanding, but it's infuriating! How can they think it’s acceptable to undermine my authority like this?",anger,0.9520739912986755
anger,I am sooo pissed at my ex.,anger,0.851917028427124,Validate,concise and emotionally attuned,"It sounds like you're really frustrated and hurt by what happened with your ex. Those feelings are completely valid, and it's understandable to be upset.","Yeah, it's just infuriating how someone you trusted can turn your whole world upside down. I can't believe I let myself get played like that.",anger,0.9007085561752319
anger,I can't take it anymore the stress from my parents. They don't acknowledge I am doing my best.,anger,0.47335365414619446,Validate,concise and emotionally attuned,"It sounds incredibly overwhelming to feel like your efforts are overlooked, and it's understandable to feel like you're reaching a breaking point. Your feelings of frustration and exhaustion are valid.","It's just infuriating that no matter how hard I try, they still act like it’s never enough. I’m done feeling like I’m in this endless cycle of disappointment.",anger,0.8311025500297546
anger,"How could my partner say he loves me, go out with me for one year and then cheat.",anger,0.6405653953552246,Explore,concise and emotionally attuned,It sounds incredibly painful to grapple with your partner's actions after expressing love. Could you share more about how this betrayal makes you feel or what questions you have for your partner about their feelings?,"It’s infuriating! I feel completely betrayed, questioning everything we built together. How could he say he loved me while doing something so cruel?",anger,0.4814513027667999
anger,"How could my partner say he loves me, go out with me for one year and then cheat.",anger,0.6405653953552246,Explore,concise and emotionally attuned,That sounds incredibly painful. What feelings or thoughts are coming up for you as you try to make sense of his actions?,"I'm just furious and confused. It feels like all that love was a lie, and it makes me question everything about our relationship.",anger,0.9834080338478088
anger,I can't take it anymore the stress from my parents. They don't acknowledge I am doing my best.,anger,0.47335365414619446,Explore,concise and emotionally attuned,It sounds like you're feeling really overwhelmed and unrecognized; can you share more about what specific things your parents say or do that make you feel this way? How does their lack of acknowledgment affect you emotionally?,"Yeah, it’s just constant criticism and comparison—nothing I do ever seems to be enough. It makes me feel like I’m drowning, like my efforts don’t matter at all.",sadness,0.32617586851119995
anger,Hey! How can I help?,anger,0.4075467586517334,Explore,concise and emotionally attuned,It sounds like you’re open to support—what’s been on your mind lately that you’d like to talk about? How are you feeling about everything right now?,"I'm feeling frustrated and overwhelmed, honestly. It’s more than just the typical hassles; I need to vent about what’s been piling up.",anger,0.7716153264045715
anger,"How could my partner say he loves me, go out with me for one year and then cheat.",anger,0.6405653953552246,Explore,concise and emotionally attuned,It sounds really painful to experience that betrayal. Can you share more about how this has affected your feelings towards your partner and the relationship?,"It's beyond painful; it makes me question everything I thought we had. I feel betrayed, angry, and honestly, I'm struggling to trust him again.",sadness,0.5762322545051575
anger,My board is going around me to my staff and I am frustrated.,anger,0.946092963218689,Reframe,concise and emotionally attuned,"It sounds really disheartening to feel sidelined like that, but perhaps this situation could be an opportunity to strengthen your team's trust in your leadership, showing them how to navigate challenges together. Your feelings are valid, and recognizing this could help you find a new angle to approach the situation.","I appreciate your perspective, but it doesn't change the fact that my authority is being undermined right now, and it infuriates me to see my board undermining my role instead of supporting it.",anger,0.9560748934745789
anger,I am always angry at myself and others. I lose my temper constantly and say very racist things.,anger,0.9834815859794617,Reframe,concise and emotionally attuned,"It sounds like you're feeling overwhelmed by your emotions, and that anger might be masking deeper struggles. Perhaps this could be seen as an opportunity to explore what’s beneath the anger, allowing for healing and understanding both towards yourself and others.","I appreciate the suggestion, but right now, it just feels infuriating to hear that my anger might have to be dealt with. It's like no one understands how hard it is to even think about digging deeper when all I want to do is lash out.",anger,0.9793662428855896
anger,My board is going around me to my staff and I am frustrated.,anger,0.946092963218689,Reframe,concise and emotionally attuned,"It sounds really disheartening to feel sidelined like that, but this could also be an opportunity to strengthen your direct communication with your staff and rebuild trust with the board. Perhaps this situation might lead to a deeper understanding of your role and the value you bring.","It’s hard to see it as an opportunity when it feels more like a betrayal. Strengthening communication is great, but I shouldn’t have to fight for my position—I already deserve respect.",anger,0.5344997048377991
anger,Hey! How can I help?,anger,0.4075467586517334,Reframe,concise and emotionally attuned,"It sounds like your partner is eager to support you, which shows their care; perhaps this is a wonderful chance to share what you truly need and strengthen your connection. It's okay to lean on each other!","I get that, but it feels like I'm always the one who has to ask for support. It’s exhausting to feel like I'm carrying the weight alone.",sadness,0.9521129131317139
anger,I am sooo pissed at my ex.,anger,0.851917028427124,Reframe,concise and emotionally attuned,It’s completely understandable to feel that way; it sounds like the situation is still bringing up a lot of hurt. Maybe this anger could be a sign that you’re ready to let go and create space for something healthier in your life.,"I get that, but it just feels infuriating to be stuck dealing with their mess. Letting go sounds nice, but I'm just so fed up with the whole thing right now.",anger,0.953295886516571
anger,I am always angry at myself and others. I lose my temper constantly and say very racist things.,anger,0.9834815859794617,Affirm,concise and emotionally attuned,"It takes a lot of courage to recognize and express your feelings like this, and that self-awareness is a strong foundation for growth. Your honesty shows immense strength, and I believe in your ability to evolve from this point.","I appreciate the recognition, but it doesn’t change the fact that my anger feels overwhelming and fuels my worst thoughts. I know I need to get a grip on this, but it’s infuriating to feel trapped in this cycle.",anger,0.9807723760604858
