emotion_type,Validate,Explore,Reframe,Affirm,Guide,Normalize
anger,0.05917112703124682,0.4806099658211072,0.048075697615387894,0.11894607903169734,0.20959798296292623,0.08359914835586789
anxiety,0.04999499890849098,0.482822382960703,0.04713747159910056,0.12124092799018729,0.21752954423883475,0.08127467253251926
depression,0.053629277712635454,0.4891552727789648,0.04949607981609241,0.12061864009968215,0.2047262786827501,0.08237445090611976
disgust,0.057623855237449916,0.47120150476694106,0.04532274663714426,0.11950752906767385,0.2306666917034558,0.07567765828488128
fear,0.04815147264713519,0.49082473179227426,0.04719003970293622,0.11868052910033025,0.21866934337212066,0.07648387525573765
guilt,0.06285050548613072,0.516483336687088,0.04663750790059566,0.1358855264261365,0.13931755181401967,0.09882561452686786
jealousy,0.04919511750340462,0.5646827459335327,0.029060787707567214,0.1340373020619154,0.16894201412796975,0.05408201031386852
nervousness,0.049535689782351254,0.45327908396720884,0.03841869737952948,0.13309078756719828,0.22909155189990998,0.09658419513143598
sadness,0.05624658021505081,0.48825698529760686,0.05191807481234953,0.1202990135042778,0.19874519323028864,0.08453415159151079
shame,0.044095469181510534,0.528797369247133,0.041578220880844376,0.1080879789523103,0.2000302034684203,0.07741075527261604
