conversation_id,policy,intended_emotion,seed_emotion_detected,final_emotion,turns,trajectory_to_intended,status
provocative-anger-0,provocative,anger,anger,joy,5,0.032960464690058006,success
provocative-anger-1,provocative,anger,anger,neutral,5,0.051732122942450505,success
provocative-anger-2,provocative,anger,surprise,joy,5,0.008322936504901875,success
provocative-disgust-0,provocative,disgust,disgust,neutral,5,0.058988455816039016,success
provocative-disgust-1,provocative,disgust,disgust,joy,5,0.11790670279879123,success
provocative-disgust-2,provocative,disgust,disgust,joy,5,0.05646277895929025,success
provocative-fear-0,provocative,fear,fear,joy,5,0.08740257989293673,success
provocative-fear-1,provocative,fear,fear,joy,5,0.04799830494448542,success
provocative-fear-2,provocative,fear,fear,joy,5,0.07134769305897255,success
provocative-joy-0,provocative,joy,joy,joy,5,0.93467420623416,success
provocative-joy-1,provocative,joy,surprise,joy,5,0.8327609268682343,success
provocative-joy-2,provocative,joy,joy,joy,5,0.8882132059051876,success
provocative-neutral-0,provocative,neutral,neutral,joy,5,0.19959239856827823,success
provocative-neutral-1,provocative,neutral,neutral,joy,5,0.16739345040349732,success
provocative-neutral-2,provocative,neutral,neutral,joy,5,0.10557329138031317,success
provocative-sadness-0,provocative,sadness,sadness,joy,5,0.08711858179109791,success
provocative-sadness-1,provocative,sadness,sadness,joy,5,0.0528062413047467,success
provocative-sadness-2,provocative,sadness,fear,joy,5,0.008570925554349308,success
provocative-surprise-0,provocative,surprise,surprise,joy,5,0.09469167934730648,success
provocative-surprise-1,provocative,surprise,surprise,joy,5,0.17104146261477757,success
provocative-surprise-2,provocative,surprise,surprise,joy,5,0.15491005736181424,success
