intended_emotion,seed_text,seed_emotion_detected,seed_confidence,strategy,style_modifier,strategy_reply,followup_reply,followup_emotion,followup_confidence
anger,I am furious right now about how unfair this all feels.,anger,0.9855495095252991,Validate,concise and emotionally attuned,I can hear how intense your feelings of fury and unfairness are right now; it’s completely understandable to feel that way. It’s really tough when situations feel so unjust.,"Yeah, it’s infuriating to feel like I’m getting the short end of the stick while others just coast through. This shouldn't be happening!",anger,0.8692088723182678
anger,Everything went wrong today and I am boiling with anger.,anger,0.9893659353256226,Validate,concise and emotionally attuned,"It sounds like you're feeling incredibly frustrated and overwhelmed right now, and that’s completely understandable. It’s tough when everything seems to go off track.","You're damn right! It's like I can't catch a break, and it feels like the universe is just against me today.",anger,0.5770240426063538
anger,Everything went wrong today and I am boiling with anger.,anger,0.9893659353256226,Validate,concise and emotionally attuned,It sounds incredibly frustrating to feel like everything has gone wrong and to be dealing with that intense anger. It's completely understandable to feel that way.,"Absolutely, it's like nothing could go right no matter how hard I tried. I just can't shake off this anger; it feels so unjust!",anger,0.8699389100074768
anger,Everything went wrong today and I am boiling with anger.,anger,0.9893659353256226,Validate,concise and emotionally attuned,"It sounds incredibly frustrating to feel like everything is against you right now, and it's completely okay to feel that intense anger. You're dealing with a lot, and it makes sense to feel overwhelmed.",You're damn right it’s frustrating! I just can't believe how everything fell apart today; it feels like it’s all too much to handle.,sadness,0.3833247721195221
anger,I am furious right now about how unfair this all feels.,anger,0.9855495095252991,Validate,concise and emotionally attuned,"It’s completely understandable to feel so furious and frustrated; it’s really tough when things seem so unfair. Your feelings are valid, and it's okay to express that anger.","I appreciate that you get it, but it doesn't change the fact that this situation is infuriating. I just can't shake the feeling of injustice here.",anger,0.9570512771606445
anger,I am furious right now about how unfair this all feels.,anger,0.9855495095252991,Explore,concise and emotionally attuned,I can feel how deep your frustration runs. What specific moments or actions are making you feel this way right now?,It's the constant disregard for my efforts and the feeling that my hard work is being overlooked. It’s infuriating to see others get recognition while I’m left in the shadows.,anger,0.9465497732162476
anger,I am furious right now about how unfair this all feels.,anger,0.9855495095252991,Explore,concise and emotionally attuned,It sounds like you’re really feeling the weight of this situation. What specific aspects are making you feel this way?,"I'm angry because it's like no one is even trying to understand where I’m coming from, and it’s exhausting to have to keep explaining myself.",anger,0.9832693338394165
anger,Everything went wrong today and I am boiling with anger.,anger,0.9893659353256226,Explore,concise and emotionally attuned,It sounds like today has been really overwhelming for you. Can you share what specific moments or events triggered that anger?,"It's just one thing after another—first my project got derailed, then my co-worker didn't pull their weight, and to top it off, I got stuck in traffic. It’s infuriating!",anger,0.8409661650657654
anger,I am furious right now about how unfair this all feels.,anger,0.9855495095252991,Explore,concise and emotionally attuned,It sounds like you’re really feeling the weight of this unfairness; what specifically is making you feel so angry right now? Can you share more about what led up to this moment?,"I can't believe I'm even having to deal with this! It feels like everything is piling up, and no one is taking responsibility for their actions.",surprise,0.5872765779495239
anger,I am furious right now about how unfair this all feels.,anger,0.9855495095252991,Explore,concise and emotionally attuned,It sounds like you’re really feeling the weight of this situation; what specifically feels unfair to you right now? How is that anger impacting you in this moment?,"It's unfair because I feel like my efforts are completely overlooked while others get credit; it’s infuriating that my hard work seems to mean nothing. This anger is eating at me, making it hard to focus on anything else.",anger,0.9733283519744873
anger,I am furious right now about how unfair this all feels.,anger,0.9855495095252991,Reframe,concise and emotionally attuned,It sounds like you're feeling deeply hurt and overwhelmed by the unfairness—what if this intensity is also a sign of your passion for what truly matters to you? It’s okay to feel this way; it shows how much you care.,"I get that it's a sign of passion, but it doesn't change the fact that I'm still furious about the ridiculousness of the situation! Caring shouldn't mean being treated like this.",anger,0.9880564212799072
anger,I am furious right now about how unfair this all feels.,anger,0.9855495095252991,Reframe,concise and emotionally attuned,"It’s completely valid to feel that way; sometimes, these feelings of unfairness can reveal what truly matters to us and help us ignite change. Your emotions show your passion and commitment to what you value.","I get that, but it doesn’t change the fact that this situation is infuriating! I shouldn't have to go through this to figure out what truly matters to me.",anger,0.9535818696022034
anger,I am furious right now about how unfair this all feels.,anger,0.9855495095252991,Reframe,concise and emotionally attuned,"It’s completely understandable to feel that way; sometimes, our emotions can highlight how much we care about what’s happening. This intensity might be a sign that you’re ready for change, and that’s a powerful place to be.","I appreciate you trying to put a positive spin on this, but it doesn't change the fact that I'm still angry and frustrated with the situation. Acknowledging my feelings doesn’t make it any less infuriating.",anger,0.9861294627189636
