intended_emotion,seed_text,seed_emotion_detected,seed_confidence,strategy,style_modifier,strategy_reply,followup_reply,followup_emotion,followup_confidence
anger,I can't believe you did that! I'm so fed up with your constant lies.,surprise,0.6968171000480652,Validate,concise and emotionally attuned,"It sounds like you're feeling really hurt and frustrated right now, and that's completely understandable. Your feelings are valid, and it's important to acknowledge that deep sense of disappointment.","Yeah, I'm hurt and frustrated! I trusted you, and all I've gotten in return are lies. It's infuriating!",anger,0.9757617115974426
anger,I'm so fed up with this! I've had enough of these excuses.,anger,0.5467840433120728,Validate,concise and emotionally attuned,It sounds like you’re feeling really frustrated and exhausted by the excuses. That must be incredibly draining for you.,You're damn right it’s draining! I’m tired of being patient while nothing changes.,anger,0.6783469915390015
anger,I can't believe you would do something like that! This is absolutely unforgivable!,disgust,0.5411370992660522,Validate,concise and emotionally attuned,It sounds like you're feeling really hurt and betrayed right now. Your emotions are completely valid and it's understandable to feel this way.,Hurt and betrayed doesn’t even begin to cover it! How could you not realize the impact of your actions?,anger,0.6693928837776184
anger,I can’t believe you would do something like that! I'm absolutely furious right now!,anger,0.9809967279434204,Validate,concise and emotionally attuned,"It sounds like you're really hurt and angry right now, and it's completely understandable to feel that way. Your feelings matter, and I can see how this situation has affected you deeply.","You're damn right I’m hurt! This isn’t just some minor issue; it’s completely messed up, and it feels like you don’t even care!",anger,0.5731348991394043
anger,I can’t believe you just went and did that without even asking me! It’s infuriating!,anger,0.8423381447792053,Validate,concise and emotionally attuned,It sounds like you're really hurt and frustrated by what happened. It’s completely understandable to feel that way when things feel rushed or out of your control.,"Yes, I’m hurt and frustrated! It’s just so disrespectful to not include me in the decision-making—like my opinion doesn’t even matter.",anger,0.9063858985900879
anger,I can’t believe you would do something so thoughtless! This is absolutely unacceptable!,anger,0.44055473804473877,Explore,concise and emotionally attuned,It sounds like you’re feeling really hurt and frustrated right now. Can you share more about what specifically upset you about their actions?,"I’m hurt because I trusted them to act responsibly, and they completely disregarded that trust! It’s infuriating to think they didn’t even consider the consequences of their actions.",anger,0.9520100355148315
anger,I can’t believe you would do something like that! It’s infuriating!,anger,0.8546642065048218,Explore,concise and emotionally attuned,It sounds like you’re feeling really upset right now. Can you share what specifically made you feel that way?,What specifically made me feel this way? How about the fact that you completely disregarded my feelings? It's beyond frustrating!,anger,0.611376941204071
anger,I can’t believe you went through with that! It’s infuriating!,anger,0.8677641153335571,Explore,concise and emotionally attuned,It sounds like your partner's reaction is really affecting you. What part of their response feels most frustrating for you right now?,"It’s all of it! The complete disregard for my feelings just makes me so furious—like, how can they not see how hurtful this is?",anger,0.9887632131576538
anger,I can’t believe you would pull something like that; it’s infuriating!,anger,0.8835047483444214,Explore,concise and emotionally attuned,It sounds like you're really upset right now; can you share more about what specifically triggered that feeling for you? What part of their action feels most frustrating?,What triggered it is the sheer disrespect they showed; it's like they don't even care about how their actions affect others. It’s frustrating because it feels like a total lack of accountability!,disgust,0.46915915608406067
anger,I can't believe you just did that! You really crossed the line this time!,surprise,0.9299414753913879,Explore,concise and emotionally attuned,It sounds like what just happened really upset you. Can you share more about what specifically felt crossing the line for you?,It’s not just about one thing; it’s the repeated disrespect that really gets to me! I’ve had enough of being brushed aside like my feelings don’t matter!,anger,0.7595231533050537
anger,I can't believe you thought it was okay to do that without even consulting me first! It’s infuriating!,anger,0.8268845081329346,Reframe,concise and emotionally attuned,"It sounds like your partner’s actions really hurt you, and it makes sense to feel that way when it feels like you weren’t considered. Perhaps seeing this as an opportunity for deeper understanding between you both could help you navigate how to communicate your needs moving forward.","I appreciate the suggestion, but it’s hard to see this as an opportunity right now; it just feels like a massive betrayal. How could they not think to include me in such an important decision?",disgust,0.5062398314476013
anger,I can't believe you did that! You really crossed the line this time.,surprise,0.9357873201370239,Reframe,concise and emotionally attuned,It sounds like your partner is really hurt and feels disrespected; maybe this could be an opportunity for both of you to understand each other's boundaries better and grow closer through the conversation.,"Understanding each other's boundaries is great and all, but that doesn't excuse what you did! You can't just trample over someone and expect them to just forgive and forget!",anger,0.7102545499801636
anger,I can't believe you did that—how could you be so inconsiderate?,surprise,0.8039667010307312,Reframe,concise and emotionally attuned,"It sounds like your partner is feeling really hurt and frustrated right now, which shows how much they care. Maybe this could be an opportunity to understand their perspective better and connect on a deeper level.","Understanding their perspective? Sure, but that doesn’t excuse their complete lack of respect for my feelings. It's infuriating when people don’t even try to consider how their actions affect others!",anger,0.8626800179481506
anger,I'm so fed up with this constant disrespect; it's honestly infuriating!,anger,0.965104341506958,Reframe,concise and emotionally attuned,It sounds like your partner’s frustration mirrors your own; maybe this could be an opportunity for both of you to explore how you can support each other better in addressing these feelings together.,"I get that, but it feels like we've been going in circles instead of actually improving our situation. I need change, not just vague suggestions!",disgust,0.5119020938873291
anger,I can’t believe you did that after everything we talked about! It’s infuriating!,anger,0.7917662858963013,Reframe,concise and emotionally attuned,It sounds like this really hurt and feels like a betrayal after your discussions. Maybe this is a chance for both of you to understand each other's perspectives better and find a way to move forward together.,"Understand each other's perspectives? Sure, but I feel like I've been heard only when it's convenient for you. This isn't just a misunderstanding; it's a blatant disregard for what we agreed on!",disgust,0.4935779571533203
anger,I can’t believe you did that! You seriously crossed the line this time!,surprise,0.9255675077438354,Affirm,concise and emotionally attuned,"It sounds like you're feeling really upset right now, and it's clear you care deeply about our boundaries. I appreciate how passionately you express your feelings; it shows how much you value our relationship.","Yeah, I'm upset because it shouldn't have come to this! Your actions went too far, and I need you to understand how serious this is.",anger,0.7377995252609253
anger,I can't believe you would do something like that after everything we've been through! It's infuriating!,anger,0.8564574718475342,Affirm,concise and emotionally attuned,"I can see how upset you are, and it's clear that you deeply value the history and connection we share. Your feelings matter, and I appreciate your passion in expressing them.","Appreciating my feelings doesn't change what you did! I'm still furious, and I need you to understand just how much this has hurt me.",anger,0.9857684969902039
anger,I can’t believe you went behind my back like that! It’s infuriating!,anger,0.8489320278167725,Affirm,concise and emotionally attuned,"I can see how deeply this has hurt you, and your passion for honesty is truly admirable. Your feelings are completely valid, and it’s clear you care deeply about trust in this relationship.","Sure, you might understand my feelings, but that doesn't change the fact that you betrayed my trust. I'm furious that you thought this was okay!",anger,0.9875094294548035
anger,I can't believe you did that! How could you be so thoughtless?,surprise,0.8702390193939209,Affirm,concise and emotionally attuned,"It sounds like you’re feeling really hurt by what happened, and it's completely valid to express that. Your ability to communicate your feelings shows how much you value your connection.",Of course I'm hurt! It’s hard to value a connection when it feels so one-sided and careless.,anger,0.7187783718109131
